SequenceId,HeaderSequenceId,FontSize,FontAttribute,TextWrap,FontAlign,SpaceBefore,AdditionalData,ContentType,Content
79,5,18,,Normal,Right,,✟,P_Bullet,വി.യൗസേപ്പിതാവേ! ഭൗതികവസ്തുക്കളോടുള്ള  വിരക്തി ഈശോയിൽ നിന്നും എനിക്കു നേടിത്തരേണമേ
80,5,18,,Normal,Right,,✟,P_Bullet,വി.യൗസേപ്പിതാവേ! സ്വർഗ്ഗത്തിലേക്കുള്ള ഇടുങ്ങിയ വഴിയിലൂടെ എപ്പോഴും സഞ്ചരിക്കുവാനുള്ള കൃപ എനിക്കു നേടിത്തരേണമേ.
81,5,18,,Normal,Right,,✟,P_Bullet,വി.യൗസേപ്പിതാവേ! ഈശോ എന്‍റെ പാപത്തിന്‍റെ എല്ലാ  സാഹചര്യങ്ങളെയും ഉപേക്ഷിക്കുവാനുള്ള കൃപ ഈശോയിൽ നിന്നും എനിക്കു നേടിത്തരേണമേ.
82,5,18,,Normal,Right,,✟,P_Bullet,വി.യൗസേപ്പിതാവേ! അവസാനം വരെയുള്ള സ്ഥിരോത്സാഹം ഈശോയിൽ നിന്നും എനിക്കു നേടിത്തരേണമേ
83,5,18,,Normal,Right,,✟,P_Bullet,വി.യൗസേപ്പിതാവേ! എന്നെ ഉപേക്ഷിക്കരുതേ! എപ്പോഴും അങ്ങയെ സ്നേഹിക്കുവാൻ എന്‍റെ ഹൃദയത്തെയും എപ്പോഴും അങ്ങയെ പ്രകീർത്തിക്കുവാൻ എന്‍റെ അധരത്തെയും അനുഗ്രഹിക്കേണമേ.
84,5,18,,Normal,Right,,✟,P_Bullet,വി.യൗസേപ്പിതാവേ! ഈശോയോടു അങ്ങേയ്ക്കുണ്ടായിരുന്ന സ്നേഹത്തെപ്രതി ഈശോയെ സ്നേഹിക്കാൻ എന്നെ അനുഗ്രഹിക്കേണമേ.
85,5,18,,Normal,Right,,✟,P_Bullet,വി.യൗസേപ്പിതാവേ! അങ്ങയുടെ എളിയ ദാസനായി കൃപയോടെ എന്നെ സ്വീകരിക്കേണമേ!
86,5,18,,Normal,Right,,✟,P_Bullet,വി.യൗസേപ്പിതാവേ! ഞാൻ എന്നെ തന്നെ അങ്ങേയ്ക്കു നൽകുന്നു. എന്‍റെ യാചനകൾ സ്വീകരിക്കുകയും പ്രാർത്ഥനകൾ കേൾക്കുകയും ചെയ്യണമേ!
87,5,18,,Normal,Right,,✟,P_Bullet,വി.യൗസേപ്പിതാവേ! ഈശോ എന്‍റെ മരണ സമയത്തു എന്നെ ഉപേക്ഷിക്കരുതേ.
88,5,18,,Normal,Right,,✟,P_Bullet,ഈശോ മറിയം യൗസേപ്പേ എന്‍റെ ഹൃദയവും ആത്‌മാവും നിങ്ങൾക്കു ഞാൻ സമർപ്പിക്കുന്നു.
89,5,16,Bold,Normal,Left,,,P,(3 ത്രിത്വസ്തുതി)
90,5,,,,,,F,Sound,Page5 - Content1.mp3
91,5,,,,,,F,Sound,Page5 - Content2.mp3
92,6,20,,,,,,H,വി.യൗസേപ്പിതാവിനോടുള്ള യാചനകൾ
93,6,18,,Normal,Right,,1,P_Bullet,"പരി.കന്യകാമറിയത്തിന്‍റെ വിരക്ത ഭർത്താവും എന്‍റെ സംരക്ഷകനുമായ വി.യൗസേപ്പിതാവേ, അങ്ങയുടെ മാദ്ധ്യസ്ഥം തേടിയ ആരെയും അങ്ങ് ഉപേക്ഷിച്ചിട്ടില്ല എന്ന് ഓർക്കേണമേ ! വിശ്വാസത്തോടെ അവിടുത്തെ തിരുമുൻപിൽ പ്രണമിച്ചു അവിടുത്തെ ശക്തിയേറിയ ഇടപെടലിനായി തീക്ഷണതയോടെ യാചിക്കുന്നു. ഞങ്ങളുടെ രക്ഷകന്‍റെ പ്രിയപ്പെട്ട വളർത്തു പിതാവേ, എൻ്റെ യാചനകളെ നിസ്സാരമായി കരുതി തള്ളാതെ ദയവോടെ ഉത്തരമരുളണമേ. ആമ്മേൻ."
94,6,18,,Normal,Right,,2,P_Bullet,എത്രയും മഹത്വപൂർണ്ണനായ വി.യൗസേപ്പിതാവേ! പരി. അമ്മയുടെ വിരക്ത ഭർത്താവേ! ഈശോയുടെ വളർത്തു പിതാവേ! ജാഗ്രതയോടെ എന്നെ പരിപാലിക്കണമേ! ദൈവപ്രസാദവരത്തിന്‍റെ വഴികളിലൂടെ എന്നെ നയിക്കേണമേ! അങ്ങയുടെ മേലങ്കിയുടെ മടക്കുകളിൽ പൊതിഞ്ഞു പിടിക്കണമെന്ന് ഞാൻ യാചിക്കുന്ന എന്‍റെ അടിയന്തരാവശ്യങ്ങളെ അങ്ങു ദയവോടെ കേൾക്കണമേ. 
95,6,18,,Normal,Right,,,P_Bullet,എന്‍റെ പ്രാർത്ഥനയുടെ വഴിയിൽ നിൽക്കുന്ന തടസ്സങ്ങളെയും വിഷമങ്ങളെയും പുറത്താക്കണമേ! എന്‍റെ യാചനകൾക്ക് അങ്ങു നൽകുന്ന ഉത്തരം ദൈവത്തിന്‍റെ  ഉപരിമഹത്വത്തിനും എന്‍റെ നിത്യജീവിതത്തിനും സഹായകരമാകുവാൻ  അങ്ങു അനുഗ്രഹിക്കേണമേ! എന്നിൽ നിറഞ്ഞുനിൽക്കുന്ന ക്രിതജ്ഞതയുടെ അടയാളമായി അങ്ങയുടെ ശക്തിയേയും പ്രഭാവത്തെയും സ്വർഗ്ഗത്തിലും ഭൂമിയിലും ഇത്രമാത്രം അനുഗ്രഹിച്ചുയർത്തിയ കർത്താവിനു ഞാൻ നന്ദി പറയുകയും ചെയ്യുന്നു.
96,6,18,Bold,Normal,Left,,,P,ആമ്മേൻ.
97,6,,,,,,F,Sound,Page6 - Content1.mp3
98,7,20,,,,,,H,വി.യൗസേപ്പിതാവിന്‍റെ ലുത്തിനിയ
99,7,18,,Normal,Right,,,P,കർത്താവെ അനുഗ്രഹിക്കേണമേ
100,7,18,,Normal,Right,,,P,മിശിഹായെ അനുഗ്രഹിക്കേണമേ
101,7,18,,Normal,Right,,,P,കർത്താവെ അനുഗ്രഹിക്കേണമേ
102,7,18,,Normal,Right,,,P_Bullet,മിശിഹായെ ഞങ്ങളുടെ പ്രാർത്ഥന കേൾക്കണമേ 
103,7,18,,Normal,Right,,,P_Bullet,മിശിഹായെ ഞങ്ങളുടെ പ്രാർത്ഥന കൈക്കൊള്ളണമേ
104,7,18,,Normal,Right,,,P,സ്വർഗ്ഗസ്ഥിതനായ പിതാവായ ദൈവമേ- ഞങ്ങളെ അനുഗ്രഹിക്കണമേ
105,7,18,,Normal,Right,,,P,ലോകരക്ഷകനായ  പുത്രൻ തമ്പുരാനേ- ഞങ്ങളെ അനുഗ്രഹിക്കണമേ
106,7,18,,Normal,Right,,,P,പരിശുദ്ധാത്മാവായ ദൈവമേ- ഞങ്ങളെ അനുഗ്രഹിക്കണമേ
107,7,18,,Normal,Right,,,P,പരിശുദ്ധ മറിയമേ- ഞങ്ങൾക്കു വേണ്ടി അപേക്ഷിക്കണമേ
108,7,18,,Normal,Right,,,P,യൗസേപ്പിതാവേ- ഞങ്ങൾക്കു വേണ്ടി അപേക്ഷിക്കണമേ
109,7,18,,Normal,Right,,,P,ദാവീദിന്‍റെ  വംശജനേ- ഞങ്ങൾക്കു വേണ്ടി അപേക്ഷിക്കണമേ
110,7,18,,Normal,Right,,,P,പൂർവ്വപിതാക്കന്മാരുടെ പ്രകാശമേ- ഞങ്ങൾക്കു വേണ്ടി അപേക്ഷിക്കണമേ
111,7,18,,Normal,Right,,,P,ദൈവമാതാവിന്‍റെ ഭർത്താവേ- ഞങ്ങൾക്കു വേണ്ടി അപേക്ഷിക്കണമേ
112,7,18,,Normal,Right,,,P,പരി. കന്യകയുടെ വിരക്തനായ സംരക്ഷകനേ- ഞങ്ങൾക്കു വേണ്ടി അപേക്ഷിക്കണമേ
113,7,18,,Normal,Right,,,P,ദൈവപുത്രന്‍റെ കാവല്കാരനേ- ഞങ്ങൾക്കു വേണ്ടി അപേക്ഷിക്കണമേ
114,7,18,,Normal,Right,,,P,മിശിഹായുടെ സംരക്ഷകനേ- ഞങ്ങൾക്കു വേണ്ടി അപേക്ഷിക്കണമേ
115,7,18,,Normal,Right,,,P,തിരുകുടുംബത്തിന്‍റെ നാഥനേ- ഞങ്ങൾക്കു വേണ്ടി അപേക്ഷിക്കണമേ
116,7,18,,Normal,Right,,,P,എത്രയും നീതിമാനായ വി.യൗസേപ്പിതാവേ- ഞങ്ങൾക്കു വേണ്ടി അപേക്ഷിക്കണമേ
117,7,18,,Normal,Right,,,P,എത്രയും പരിശുദ്ധനായ വി.യൗസേപ്പിതാവേ- ഞങ്ങൾക്കു വേണ്ടി അപേക്ഷിക്കണമേ
118,7,18,,Normal,Right,,,P,എത്രയും വിവേകമുള്ള വി.യൗസേപ്പിതാവേ- ഞങ്ങൾക്കു വേണ്ടി അപേക്ഷിക്കണമേ
119,7,18,,Normal,Right,,,P,എത്രയും ശക്‌തിയുള്ള വി.യൗസേപ്പിതാവേ- ഞങ്ങൾക്കു വേണ്ടി അപേക്ഷിക്കണമേ
120,7,18,,Normal,Right,,,P,എത്രയും അനുസരണയുള്ള വി.യൗസേപ്പിതാവേ- ഞങ്ങൾക്കു വേണ്ടി അപേക്ഷിക്കണമേ
121,7,18,,Normal,Right,,,P,എത്രയും വിശ്വസ്തനായ വി.യൗസേപ്പിതാവേ- ഞങ്ങൾക്കു വേണ്ടി അപേക്ഷിക്കണമേ
122,7,18,,Normal,Right,,,P,ക്ഷമയുടെ കണ്ണാടിയേ- ഞങ്ങൾക്കു വേണ്ടി അപേക്ഷിക്കണമേ
123,7,18,,Normal,Right,,,P,ദാരിദ്ര്യത്തിന്‍റെ സ്നേഹിതനേ- ഞങ്ങൾക്കു വേണ്ടി അപേക്ഷിക്കണമേ
124,7,18,,Normal,Right,,,P,അദ്ധ്വാനിക്കുന്നവരുടെ മാതൃകയേ- ഞങ്ങൾക്കു വേണ്ടി അപേക്ഷിക്കണമേ
125,7,18,,Normal,Right,,,P,കുടുംബത്തിന്‍റെ നാഥനേ- ഞങ്ങൾക്കു വേണ്ടി അപേക്ഷിക്കണമേ
126,7,18,,Normal,Right,,,P,കന്യകകളുടെ കാവൽക്കാരനേ- ഞങ്ങൾക്കു വേണ്ടി അപേക്ഷിക്കണമേ
127,7,18,,Normal,Right,,,P,കുടുംബത്തിന്‍റെ ശക്തിയേ- ഞങ്ങൾക്കു വേണ്ടി അപേക്ഷിക്കണമേ
128,7,18,,Normal,Right,,,P,വേദനിക്കുന്നവരുടെ ആശ്വാസമേ- ഞങ്ങൾക്കു വേണ്ടി അപേക്ഷിക്കണമേ
129,7,18,,Normal,Right,,,P,രോഗികളുടെ പ്രതീക്ഷയേ- ഞങ്ങൾക്കു വേണ്ടി അപേക്ഷിക്കണമേ
130,7,18,,Normal,Right,,,P,മരിക്കുന്നവരുടെ മദ്ധ്യസ്ഥനേ- ഞങ്ങൾക്കു വേണ്ടി അപേക്ഷിക്കണമേ
131,7,18,,Normal,Right,,,P,പിശാചുക്കളുടെ ഭീതിയേ- ഞങ്ങൾക്കു വേണ്ടി അപേക്ഷിക്കണമേ
132,7,18,,Normal,Right,,,P,സഭയുടെ സംരക്ഷകനേ- ഞങ്ങൾക്കു വേണ്ടി അപേക്ഷിക്കണമേ
133,7,18,,Normal,Right,,,P,"ലോകത്തിന്‍റെ പാപങ്ങൾ വഹിക്കുന്ന ദൈവത്തിന്‍റെ കുഞ്ഞാടേ,"
134,7,18,,Normal,Right,,,P_Bullet,"കർത്താവേ, ഞങ്ങളുടെ പാപങ്ങൾ ക്ഷമിക്കണമേ "
135,7,18,,Normal,Right,,,P,"ലോകത്തിന്‍റെ പാപങ്ങൾ വഹിക്കുന്ന ദൈവത്തിന്‍റെ കുഞ്ഞാടേ,"
136,7,18,,Normal,Right,,,P_Bullet,"കർത്താവേ, ഞങ്ങളുടെ പ്രാർത്ഥന കേൾക്കണമേ"
137,7,18,,Normal,Right,,,P,"ലോകത്തിന്‍റെ പാപങ്ങൾ വഹിക്കുന്ന ദൈവത്തിന്‍റെ കുഞ്ഞാടേ,"
138,7,18,,Normal,Right,,,P_Bullet,"കർത്താവേ, ഞങ്ങളെ അനുഗ്രഹിക്കണമേ"
139,7,,,,,,F,Sound,Page7 - Content1.mp3
140,7,,,,,,F,Sound,Page7 - Content2.mp3
141,8,18,,,,,,H,പ്രാർത്ഥിക്കാം 
142,8,18,,Normal,Right,,,P,"കർത്താവായ ഈശോയെ,  അവിടുത്തെ എത്രയും പരി.അമ്മയുടെ സമർപ്പിതനായ ഭർത്താവായ വി.യൗസേപ്പിതാവിന്‍റെ പുണ്യങ്ങളെപ്രതി ഞങ്ങളെ സഹായിക്കണമേ! ഞങ്ങൾക്ക് നേടാനാവാത്തവയെ വി.യൗസേപ്പിതാവിന്‍റെ മദ്ധ്യസ്ഥത്താൽ നൽകണമെന്നു ഞങ്ങൾ അപേക്ഷിക്കുന്നു. പരിശുദ്ധാത്മാവിന്‍റെ ഐക്യത്തിൽ പിതാവിനോടൊത്തു എന്നും എന്നേയ്ക്കും വാഴുന്ന അങ്ങേയ്ക്കു സ്തുതിയും പുകഴ്ചയും ഉണ്ടായിരിക്കട്ടെ.ആമ്മേൻ."
143,8,18,,,,,,H,സമാപനപ്രാർത്ഥന 
144,8,18,,Normal,Right,,,P,"എത്രയും മഹത്വമുള്ള പിതാവായിരിക്കുന്ന വി.യൗസേപ്പിതാവേ, ഭൂമിയിലെ എല്ലാ വിശുദ്ധ കുടുംബങ്ങളുടെയും നാഥനായിരിക്കുവാൻ അങ്ങയെ ദൈവം തിരഞ്ഞെടുത്തുവല്ലോ! അങ്ങയുടെ മേലങ്കിക്കു കീഴിൽ എന്നെയും ചേർക്കണമെന്ന് ഞാനപേക്ഷിക്കുന്നു. അങ്ങനെ എന്‍റെ ആത്‌മാവിന്‍റെ സഹായകനും സംരക്ഷകനും അങ്ങായിരിക്കട്ടെ!"
145,8,18,,Normal,Right,,,P,"ഈ നിമിഷം മുതൽ അങ്ങയെ ഞാൻ എന്‍റെ പിതാവും എന്‍റെ സംരക്ഷകനും എന്‍റെ ഉപദേശകനും എന്‍റെ മദ്ധ്യസ്ഥനുമായി സ്വീകരിക്കുന്നു. എന്‍റെ ശരീരവും എന്‍റെ ആത്‌മാവും എന്നെ മുഴുവനും, എന്‍റെ ജീവിതവും എന്‍റെ മരണവും അങ്ങയുടെ തിരുകൈകളിൽ സൂക്ഷിക്കണമെന്ന് ഞാനപേക്ഷിക്കുന്നു."
146,8,18,,Normal,Right,,,P,അങ്ങയുടെ പ്രിയപ്പെട്ട മക്കളിലൊരാളായി എന്നെ കാത്തുകൊള്ളണമേ! ദൃശ്യവും അദൃശ്യവുമായ എല്ലാ തിന്മകളിൽ നിന്നും എന്നെ സംരക്ഷിക്കണമേ. എന്‍റെ എല്ലാ ആവശ്യങ്ങളിലും എന്നെ സഹായിക്കണമേ! കയ്പു നിറഞ്ഞ ജീവിതസന്ദർഭങ്ങളിൽ എന്നെ ആശ്വസിപ്പിക്കണമേ. മരണസമയത്തു എനിക്കു കൂട്ടായിരിക്കണമേ! അങ്ങു കരങ്ങളിൽ സംവഹിച്ച രക്ഷകനായ ഈശോയോടും അങ്ങയുടെ വിശിഷ്ടവധുവായ പരി. അമ്മയോടും എനിക്കു വേണ്ടി സംസാരിക്കണമേ! എന്നെ രക്ഷയിലേക്കു നയിക്കുന്ന അനുഗ്രഹങ്ങൾ എനിക്കു നേടിതരണമേ ! എന്നെയും അങ്ങയുടെ ഏറ്റവും പ്രിയപ്പെട്ടവരുടെ ഗണത്തിലുൾപ്പെടുത്തേണമേ. അങ്ങയുടെ പൈതൃകമായ സംരക്ഷണത്തിന് ഞാനും അർഹനാണെന്നു തെളിയിക്കുവാൻ അങ്ങനെ എനിക്കും ഇടവരട്ടെ!
147,8,18,Bold,Normal,Left,,,P,ആമ്മേൻ.
148,8,,,,,,F,Sound,Page8 - Content1.mp3
149,9,20,,,,,,H,ജപം 
150,9,18,,Normal,Right,,,P,"കന്യാവ്രതക്കാരുടെ കാവൽക്കാരനും പിതാവുമായ മാർ യൗസേപ്പേ, കുറ്റമില്ലായ്മതന്നെയായിരിക്കുന്ന ഈശോ മിശിഹായും കന്യകകൾക്കു മകുടമാകുന്ന  നിർമ്മല കന്യകാമറിയവും അങ്ങേ വിശ്വാസമുള്ള സൂക്ഷത്തിനു ഏല്പിക്കപ്പെട്ടുവല്ലോ. ഈശോ മറിയം എന്ന പ്രിയപ്പെട്ട പണയത്തെക്കുറിച്ചു അങ്ങയോടു ഞാൻ അപേക്ഷിക്കുന്നതായത്; അശുദ്ധതയൊക്കെയിൽനിന്നും എന്നെ കാത്ത് ശുദ്ധഹൃദയത്തോടും നിർമ്മലശരീരത്തോടും കറകൂടാത്ത ആത്‌മാവോടുംകൂടെ ഈശോമിശിഹായ്ക്കും മറിയത്തിനും എപ്പോഴും എത്രയും ശുദ്ധമായ ശുശ്രൂഷ ചെയ്യുവാൻ എനിക്കു കൃപ ലഭിച്ചുതന്നരുളേണമേ. ആമ്മേൻ!"
151,9,16,Bold,Normal,Left,,,P,(3 ത്രിത്വസ്തുതി )
152,9,,,,,,,Sound,Page9 - Content1.mp3
